User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD),Time of Day,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Charging Duration,State of Charge (Change %),Charging Rate kW
User_11,BMW i3,50.0,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.20619748,10.31070111,38.2212307,Night,76.08656557,82.26558163,64.63464375,0.500433564,3.0,DC Fast Charger,Casual Driver,239.0,6.179016059999995,4.570593509623431
User_12,Chevy Bolt,85.0,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.56492948,4.464822629,14.05086135,Evening,14.61890237,85.85749415,194.7638067,34.26261127,0.0,DC Fast Charger,Long-Distance Traveler,235.0,71.23859178,5.761258590638298
User_13,Hyundai Kona,100.0,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.25645291,5.523688619,10.972136,Afternoon,19.20544695,51.62648273,249.1275965,23.66296536,0.0,Level 2,Casual Driver,60.0,32.42103578,34.25645291
User_14,Nissan Leaf,75.0,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.56106433,19.76909872,37.4418566,Morning,25.77541539,69.2012291,159.2316102,34.11034864,7.0,Level 2,Commuter,174.0,43.42581371000001,5.710711837931035
User_15,BMW i3,85.0,Station_96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,12.92754529,24.21115012,18.55281568,Afternoon,71.68354384,63.70663794,155.3606054,39.50544569,4.0,Level 1,Casual Driver,212.0,-7.976905899999998,3.658739233018868
User_16,Nissan Leaf,100.0,Station_147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,27.35431788,11.11249884,33.09349271,Evening,10.67715373,72.40347015,247.6594369,-8.302136899,1.535234088,DC Fast Charger,Long-Distance Traveler,139.0,61.72631642,11.807619228776977
User_17,BMW i3,97.68181223,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.72693768,49.40273862,17.49480846,Evening,67.59197091,89.94222936,237.3064209,4.415329619,7.0,DC Fast Charger,Commuter,122.0,22.35025845,12.16078902295082
User_18,Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.82404047,6.614280125,6.430589212,Evening,57.59519512,74.96195035,22.00682916,18.40570905,6.0,Level 2,Casual Driver,193.0,17.366755229999995,7.4064374518134715
User_19,Tesla Model 3,100.0,Station_434,New York,2024-01-01 18:00:00,2024-01-01 21:03:00,42.63801819,20.49084605,25.07879371,Evening,55.51705087,52.71348869,280.862071,37.43035653,0.0,Level 1,Long-Distance Traveler,183.0,-2.80356218,13.979678095081967
User_20,BMW i3,50.0,Station_125,Los Angeles,2024-01-01 19:00:00,2024-01-01 20:22:00,48.48248431,45.29143535,7.090844201,Morning,12.75487757,100.0,243.2557695,9.202409892,3.0,Level 2,Long-Distance Traveler,82.0,87.24512243,35.474988519512195
User_21,Nissan Leaf,50.0,Station_81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,50.27906667,30.48996023,28.87289461,Night,16.54551237,77.93632714,15.4204446,33.9803101,3.0,Level 2,Casual Driver,174.0,61.390814770000006,17.337609196551725
User_22,Hyundai Kona,62.0,Station_485,New York,2024-01-01 21:00:00,2024-01-01 22:55:00,59.13503162,27.59968826,34.8532344,Evening,71.53031213,75.97435159,219.6263569,-2.755069332,5.0,Level 1,Commuter,115.0,4.444039459999999,30.853059975652172
User_23,BMW i3,75.0,Station_140,Chicago,2024-01-01 22:00:00,2024-01-02 01:02:00,49.19642959,19.19488284,14.85613122,Afternoon,49.02423911,64.48187394,298.1881223,39.95893732,4.257936703,DC Fast Charger,Long-Distance Traveler,182.0,15.457634829999996,16.218603161538464
User_24,Tesla Model 3,100.0,Station_326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,68.44712632,49.71030697,38.4060617,Morning,19.23313913,74.00615088,280.9154682,3.580839954,5.0,DC Fast Charger,Commuter,31.0,54.77301175000001,132.47830900645158
User_25,Tesla Model 3,100.0,Station_150,Houston,2024-01-02 00:00:00,2024-01-02 01:55:00,27.60438468,11.23853863,24.03753469,Morning,65.48688658,65.35209627,173.4715265,35.97782192,4.0,Level 1,Long-Distance Traveler,115.0,-0.13479030999999964,14.402287659130433
User_26,Chevy Bolt,75.0,Station_288,San Francisco,2024-01-02 01:00:00,2024-01-02 03:42:00,40.1780035,12.3186148,38.76319383,Morning,80.34408373,79.99556313,82.75461394,21.53684397,1.0,DC Fast Charger,Commuter,162.0,-0.3485206000000005,14.880742037037036
User_27,Chevy Bolt,75.0,Station_361,Houston,2024-01-02 02:00:00,2024-01-02 02:33:00,43.48775122,36.18237188,27.44831088,Afternoon,88.74847907,87.824029,80.91266512,29.87220987,0.361215166,Level 1,Commuter,33.0,-0.924450070000006,79.06863858181818
User_28,Nissan Leaf,50.0,Station_340,San Francisco,2024-01-02 03:00:00,2024-01-02 06:13:00,10.33851772,45.77673119,9.855826893,Night,98.33279531,94.50485177,162.6865444,5.504758728,0.0,Level 1,Long-Distance Traveler,193.0,-3.8279435399999926,3.214046959585492
User_29,BMW i3,75.0,Station_129,Los Angeles,2024-01-02 04:00:00,2024-01-02 04:35:00,31.68448459,48.64872319,25.617104,Afternoon,34.7276391,54.40205039,149.8203201,20.37856231,3.0,Level 2,Casual Driver,35.0,19.674411290000002,54.31625929714286
User_30,BMW i3,75.0,Station_438,Chicago,2024-01-02 05:00:00,2024-01-02 07:58:00,56.59325686,45.811731,33.13209178,Afternoon,29.2076717,85.00810624,186.1557321,12.33341537,0.0,DC Fast Charger,Casual Driver,178.0,55.800434540000005,19.07637871685393
User_31,Chevy Bolt,100.0,Station_239,New York,2024-01-02 06:00:00,2024-01-02 09:54:00,19.4738006,7.043936342,36.94527292,Afternoon,31.32078698,78.05665282,156.48543,8.352906077,2.0,DC Fast Charger,Casual Driver,234.0,46.735865839999995,4.993282205128206
User_32,BMW i3,100.0,Station_58,Chicago,2024-01-02 07:00:00,2024-01-02 09:27:00,38.28919934,12.06439146,17.01178295,Evening,75.64477848,65.61730719,238.909311,2.273162901,6.0,Level 1,Commuter,147.0,-10.027471289999994,15.628244628571428
User_33,BMW i3,100.0,Station_198,New York,2024-01-02 08:00:00,2024-01-02 09:58:00,16.13623873,21.51781505,26.43819424,Evening,23.60399143,88.2000728,35.50388319,39.38401392,1.0,Level 2,Casual Driver,118.0,64.59608137000001,8.204867150847457
User_34,Tesla Model 3,62.0,Station_211,Houston,2024-01-02 09:00:00,2024-01-02 12:03:00,60.06708509,7.651570047,18.03439004,Afternoon,22.88146663,51.43427868,46.35755886,13.99159748,1.0,Level 2,Casual Driver,183.0,28.55281205,19.694126259016393
User_35,Chevy Bolt,75.0,Station_402,Houston,2024-01-02 10:00:00,2024-01-02 13:32:00,57.72437946,4.485647105,35.50300017,Afternoon,41.87247964,79.64797277,157.614654,28.42980738,1.809172868,DC Fast Charger,Long-Distance Traveler,212.0,37.775493129999994,16.337088526415094
User_36,Hyundai Kona,75.0,Station_390,New York,2024-01-02 11:00:00,2024-01-02 14:16:00,37.37451606,18.86580196,29.86624993,Evening,24.49220858,73.38017573,76.20353922,59.93197387,4.0,Level 1,Commuter,196.0,48.88796715000001,11.441178385714284
User_37,Chevy Bolt,75.0,Station_45,Chicago,2024-01-02 12:00:00,2024-01-02 15:10:00,39.94056362,28.62519933,15.85532743,Evening,85.8575558,50.40365474,102.4303022,31.46130902,1.0,DC Fast Charger,Casual Driver,190.0,-35.45390106,12.612809564210526
User_38,Hyundai Kona,75.0,Station_97,New York,2024-01-02 13:00:00,2024-01-02 13:43:00,73.38661952,38.4508319,15.88270398,Night,49.27538753,94.5970819,42.09574394,33.92957037,6.0,DC Fast Charger,Long-Distance Traveler,43.0,45.32169437,102.39993421395349
User_39,Tesla Model 3,85.0,Station_279,Los Angeles,2024-01-02 14:00:00,2024-01-02 15:25:00,61.52075986,12.51024896,26.50571298,Afternoon,87.98462138,79.38844338,141.2437535,5.761050674,7.0,Level 2,Commuter,85.0,-8.596177999999995,43.426418724705876
User_40,Nissan Leaf,100.0,Station_23,Houston,2024-01-02 15:00:00,2024-01-02 16:50:00,68.17785004,23.31161908,8.498571937,Morning,17.04042002,56.07865101,130.3760138,-3.191455366,2.0,Level 2,Long-Distance Traveler,110.0,39.03823099,37.187918203636364
User_41,BMW i3,79.79920376,Station_410,Los Angeles,2024-01-02 16:00:00,2024-01-02 18:58:00,67.51805822,6.89787833,29.22236195,Night,80.86258863,62.52531777,119.6309923,35.23315849,1.969232722,Level 2,Casual Driver,178.0,-18.337270860000004,22.75889602921348
User_42,Tesla Model 3,100.0,Station_461,Houston,2024-01-02 17:00:00,2024-01-02 18:15:00,39.39874236,20.46036487,26.61971775,Morning,28.25229826,96.28709224,111.0165395,19.78108389,2.941663235,Level 2,Commuter,75.0,68.03479398,31.518993888
User_43,BMW i3,85.0,Station_391,Houston,2024-01-02 18:00:00,2024-01-02 20:53:00,12.04931971,29.46894436,32.0420986,Night,36.63685216,66.97610432,83.24522143,39.41613092,4.0,Level 1,Commuter,173.0,30.339252160000008,4.178954812716763
User_44,Nissan Leaf,48.79648264,Station_335,San Francisco,2024-01-02 19:00:00,2024-01-02 19:45:00,77.05360638,8.388039538,6.364629694,Afternoon,15.14412247,84.34232687,144.0139812,22.0694708,1.0,DC Fast Charger,Casual Driver,45.0,69.1982044,102.73814184000001
User_45,Nissan Leaf,75.0,Station_44,Los Angeles,2024-01-02 20:00:00,2024-01-02 22:29:00,41.9932622,5.114613366,30.03796889,Morning,15.22093897,100.0,49.38426636,32.01457654,3.680052856,Level 2,Long-Distance Traveler,149.0,84.77906103,16.910038469798657
User_46,Tesla Model 3,62.0,Station_27,Los Angeles,2024-01-02 21:00:00,2024-01-02 22:53:00,46.80719594,16.91833198,10.60887579,Evening,49.29876551,90.97067523,210.1710972,-0.039079031,1.0,DC Fast Charger,Commuter,113.0,41.671909719999995,24.85337837522124
User_47,Nissan Leaf,75.0,Station_282,San Francisco,2024-01-02 22:00:00,2024-01-03 01:06:00,67.47546614,49.60079965,19.03070021,Night,63.03594187,81.7509535,97.45390493,3.194124642,5.0,Level 1,Commuter,186.0,18.715011629999992,21.7662794
User_48,Hyundai Kona,62.0,Station_97,Chicago,2024-01-02 23:00:00,2024-01-02 23:37:00,30.71093403,6.352661445,18.13183171,Morning,76.12005336,76.68243091,18.93451549,27.89517678,0.0,Level 2,Commuter,37.0,0.5623775499999937,49.801514643243245
User_49,Nissan Leaf,85.0,Station_463,Los Angeles,2024-01-03 00:00:00,2024-01-03 01:57:00,41.9932622,14.14966619,13.11287367,Night,77.80942282,87.94811448,212.9403418,-4.44667067,1.0,Level 1,Casual Driver,117.0,10.138691660000006,21.535006256410256
User_50,BMW i3,100.0,Station_36,New York,2024-01-03 01:00:00,2024-01-03 03:40:00,8.713190576,49.27534559,9.644101414,Afternoon,27.19619601,86.89391764,170.4750541,5.378079584,6.0,Level 2,Long-Distance Traveler,160.0,59.69772163,3.2674464660000004
User_51,BMW i3,85.0,Station_109,San Francisco,2024-01-03 02:00:00,2024-01-03 02:48:00,9.065880815,40.17800199,24.50189331,Morning,13.87385811,93.62842306,226.2193632,30.6919838,2.616332483,DC Fast Charger,Casual Driver,48.0,79.75456495,11.33235101875
User_52,BMW i3,50.0,Station_55,Los Angeles,2024-01-03 03:00:00,2024-01-03 05:06:00,58.73397362,13.1757273,28.10231006,Morning,83.86192691,71.37448251,57.38072425,1.941105156,3.0,Level 1,Commuter,126.0,-12.487444399999987,27.968558866666665
User_53,BMW i3,50.0,Station_192,Chicago,2024-01-03 04:00:00,2024-01-03 05:35:00,65.98624913,46.27844331,18.84961041,Morning,17.38966714,73.43803962,234.9966616,-7.719425911,0.0,Level 2,Long-Distance Traveler,95.0,56.04837248,41.67552576631579
User_54,Hyundai Kona,62.0,Station_219,Los Angeles,2024-01-03 05:00:00,2024-01-03 06:48:00,74.99970643,35.92512612,34.08661866,Night,87.2893058,80.4164173,51.82835202,17.80538365,5.0,DC Fast Charger,Long-Distance Traveler,108.0,-6.872888499999988,41.666503572222226
User_55,Chevy Bolt,100.0,Station_185,Houston,2024-01-03 06:00:00,2024-01-03 07:55:00,17.76943641,34.45824194,9.798498138,Evening,27.69749249,70.51026725,166.311463,19.70335918,4.0,DC Fast Charger,Casual Driver,115.0,42.812774759999996,9.271010300869566
User_56,Tesla Model 3,76.87610038,Station_69,New York,2024-01-03 07:00:00,2024-01-03 09:33:00,50.26893407,36.30337235,38.94193996,Evening,13.48827069,82.69521186,133.9920936,3.042829341,0.0,DC Fast Charger,Casual Driver,153.0,69.20694117,19.713307478431375
User_57,BMW i3,69.88407425,Station_317,San Francisco,2024-01-03 08:00:00,2024-01-03 11:51:00,76.45046499,11.33906316,30.19223444,Evening,63.67446344,55.38977608,191.937915,10.42464503,2.0,Level 2,Commuter,231.0,-8.28468736,19.857263633766234
User_58,Nissan Leaf,62.0,Station_130,Houston,2024-01-03 09:00:00,2024-01-03 12:59:00,77.86372676,47.1540098,28.30319112,Afternoon,56.91742176,57.46568225,129.3894111,38.46677945,3.0,DC Fast Charger,Casual Driver,239.0,0.548260489999997,19.547379102928872
User_59,BMW i3,100.0,Station_55,Chicago,2024-01-03 10:00:00,2024-01-03 12:59:00,21.89299268,25.37395431,8.637821691,Morning,80.22553381,64.66736188,148.4156117,5.073167724,7.0,DC Fast Charger,Casual Driver,179.0,-15.55817193,7.338433300558659
User_60,Nissan Leaf,100.0,Station_378,Houston,2024-01-03 11:00:00,2024-01-03 12:15:00,71.28000416,40.61639923,6.744728812,Evening,26.15659795,89.92458853,140.4652132,33.05773081,5.0,Level 2,Casual Driver,75.0,63.767990579999996,57.024003328000006
User_61,Nissan Leaf,62.0,Station_97,Houston,2024-01-03 12:00:00,2024-01-03 14:22:00,21.82768818,26.50712322,36.0680415,Evening,33.25598509,51.50113227,48.04438716,38.65644396,7.0,Level 1,Casual Driver,142.0,18.245147179999996,9.222966836619717
User_62,BMW i3,75.0,Station_336,Chicago,2024-01-03 13:00:00,2024-01-03 15:00:00,62.72316229,30.99702693,30.04444235,Morning,82.84418007,72.83328569,282.9423218,32.85273262,7.0,DC Fast Charger,Casual Driver,120.0,-10.010894379999996,31.361581145
User_63,Hyundai Kona,124.3159114,Station_87,Houston,2024-01-03 14:00:00,2024-01-03 16:50:00,46.195137,47.87752356,30.86418086,Afternoon,53.00518533,59.90164627,25.02725726,6.171256709,1.0,Level 2,Commuter,170.0,6.896460939999997,16.304166
User_64,Nissan Leaf,100.0,Station_294,San Francisco,2024-01-03 15:00:00,2024-01-03 16:02:00,29.34565986,6.871184621,24.64975873,Night,85.33141902,67.47790563,127.0218011,34.06193919,0.0,Level 1,Long-Distance Traveler,62.0,-17.853513390000003,28.39902567096774
User_65,Nissan Leaf,50.0,Station_119,Los Angeles,2024-01-03 16:00:00,2024-01-03 18:42:00,76.9334219,34.1768555,34.2283019,Night,27.17461533,92.1446337,295.8937221,7.941688092,2.591851328,DC Fast Charger,Casual Driver,162.0,64.97001836999999,28.49385996296296
User_66,BMW i3,62.0,Station_208,Houston,2024-01-03 17:00:00,2024-01-03 18:46:00,59.25460166,26.69194666,12.2204383,Night,77.03697399,91.82927487,167.2975728,35.27145069,7.0,Level 2,Long-Distance Traveler,106.0,14.792300879999999,33.54034056226415
User_67,Nissan Leaf,100.0,Station_334,San Francisco,2024-01-03 18:00:00,2024-01-03 21:04:00,37.06292778,15.23006259,37.87533458,Morning,7.520444727,67.79787265,98.14598102,16.48370594,2.0,Level 2,Long-Distance Traveler,184.0,60.277427923000005,12.085737319565217
User_68,Nissan Leaf,85.0,Station_413,Los Angeles,2024-01-03 19:00:00,2024-01-03 21:30:00,67.69516175,32.97506874,13.77561921,Afternoon,22.48839981,86.77766611,81.28450038,-7.332648304,6.0,DC Fast Charger,Casual Driver,150.0,64.2892663,27.0780647
User_69,BMW i3,75.0,Station_154,Los Angeles,2024-01-03 20:00:00,2024-01-03 22:37:00,16.41401693,26.69194666,21.66778664,Morning,36.95028361,77.13616494,188.4714898,18.53871082,7.0,Level 1,Casual Driver,157.0,40.18588133,6.27287271210191
User_70,BMW i3,50.0,Station_35,Houston,2024-01-03 21:00:00,2024-01-03 22:47:00,67.00568214,4.092360865,14.42396639,Night,57.67766075,57.11286225,276.3684303,-2.724902766,4.122767457,Level 1,Long-Distance Traveler,107.0,-0.564798500000002,37.5732797046729
User_71,Tesla Model 3,75.0,Station_79,San Francisco,2024-01-03 22:00:00,2024-01-04 01:01:00,70.61729259,26.07041363,15.47077791,Evening,86.2260252,57.96965542,23.00399875,34.84790798,2.771346484,Level 1,Commuter,181.0,-28.256369779999993,23.409047267403317
User_72,Hyundai Kona,75.0,Station_67,Houston,2024-01-03 23:00:00,2024-01-04 00:36:00,61.13047583,23.28180496,37.14898173,Evening,34.89904375,92.35566117,58.85531552,7.662649709,1.0,DC Fast Charger,Long-Distance Traveler,96.0,57.45661742000001,38.20654739375
User_73,Hyundai Kona,85.0,Station_343,Chicago,2024-01-04 00:00:00,2024-01-04 02:24:00,22.88203842,29.9892225,10.70958202,Evening,15.67448547,96.59770242,98.47402709,19.21316449,3.0,DC Fast Charger,Commuter,144.0,80.92321695000001,9.534182675
User_74,Nissan Leaf,59.83272651,Station_413,Los Angeles,2024-01-04 01:00:00,2024-01-04 02:32:00,12.89488719,40.8840989,15.19733417,Night,31.5491822,97.46254098,183.1712811,28.63760432,2.0,Level 1,Long-Distance Traveler,92.0,65.91335878,8.40970903695652
User_75,Hyundai Kona,85.0,Station_34,Houston,2024-01-04 02:00:00,2024-01-04 04:22:00,69.16916706,5.557358509,20.76646441,Afternoon,41.08904487,74.39951853,276.5748192,20.01432447,4.0,Level 1,Casual Driver,142.0,33.31047365999999,29.22640861690141
User_76,Nissan Leaf,50.0,Station_97,Los Angeles,2024-01-04 03:00:00,2024-01-04 05:03:00,41.9932622,9.569245073,24.79072323,Night,51.28140347,93.19846283,171.8961532,-5.27572798,4.0,Level 1,Commuter,123.0,41.917059359999996,20.484518146341465
User_77,Tesla Model 3,100.0,Station_169,San Francisco,2024-01-04 04:00:00,2024-01-04 05:17:00,49.2788374,49.41151926,39.93168076,Morning,86.32698824,75.50151044,246.3443697,30.08205881,0.0,Level 1,Long-Distance Traveler,77.0,-10.825477800000002,38.39909407792207
User_78,BMW i3,75.0,Station_169,New York,2024-01-04 05:00:00,2024-01-04 08:40:00,31.21888968,30.02591267,17.60489531,Afternoon,39.51761676,71.27176464,242.4855629,39.83142977,3.0,Level 2,Commuter,220.0,31.754147879999998,8.51424264
User_79,BMW i3,100.0,Station_151,Houston,2024-01-04 06:00:00,2024-01-04 09:55:00,30.65169982,28.52235334,39.32205438,Evening,38.12132999,81.19721084,12.14951668,-4.932743443,1.0,DC Fast Charger,Casual Driver,235.0,43.07588085,7.825965911489362
User_80,BMW i3,75.0,Station_71,Houston,2024-01-04 07:00:00,2024-01-04 07:41:00,59.98647673,23.41792115,15.68301656,Afternoon,88.09676846,96.13056859,281.7637403,15.06062245,0.0,Level 1,Commuter,41.0,8.033800129999989,87.78508789756097
User_81,Hyundai Kona,48.05069473,Station_3,Los Angeles,2024-01-04 08:00:00,2024-01-04 11:05:00,51.67374779,46.59567841,18.01181178,Afternoon,55.07217408,62.93578011,222.2746667,2.554243803,7.0,Level 2,Casual Driver,185.0,7.86360603,16.759053337297296
User_82,Tesla Model 3,50.0,Station_314,San Francisco,2024-01-04 09:00:00,2024-01-04 12:21:00,35.90724265,25.60162087,19.2835227,Night,48.88762426,43.05075612,93.85786769,33.07675146,6.0,Level 1,Casual Driver,201.0,-5.83686814,10.718579895522389
User_83,Hyundai Kona,85.0,Station_32,Chicago,2024-01-04 10:00:00,2024-01-04 13:20:00,41.60783353,27.59968826,29.53293287,Afternoon,54.99764908,97.26161624,94.64525016,17.73738779,3.0,Level 1,Commuter,200.0,42.26396715999999,12.482350059
User_84,Hyundai Kona,62.0,Station_287,San Francisco,2024-01-04 11:00:00,2024-01-04 13:54:00,32.83295683,44.49236614,39.67482338,Night,26.65472205,63.71062692,279.898272,5.803389498,1.0,Level 2,Casual Driver,174.0,37.055904870000006,11.321709251724139
User_85,Tesla Model 3,50.0,Station_82,Houston,2024-01-04 12:00:00,2024-01-04 13:09:00,57.92445004,12.53816191,19.81732291,Morning,49.87203405,54.26143302,64.13545484,1.825449687,1.0,Level 1,Casual Driver,69.0,4.389398969999995,50.36908699130436
User_86,Tesla Model 3,100.0,Station_43,Chicago,2024-01-04 13:00:00,2024-01-04 16:26:00,21.65616412,32.95451082,18.02550999,Afternoon,78.43462826,97.72544036,170.5577254,10.40151143,3.0,Level 1,Casual Driver,206.0,19.290812099999997,6.307620617475728
User_87,Tesla Model 3,62.0,Station_391,San Francisco,2024-01-04 14:00:00,2024-01-04 15:54:00,41.01058175,45.3201096,18.06652173,Afternoon,73.62283684,83.05427336,103.7883061,-4.572249344,3.0,Level 2,Commuter,114.0,9.431436519999991,21.584516710526316
User_88,Tesla Model 3,62.0,Station_105,New York,2024-01-04 15:00:00,2024-01-04 16:26:00,79.81869447,13.00973223,35.97131697,Afternoon,86.1117565,69.39563152,274.0206539,10.69221009,2.0,Level 2,Casual Driver,86.0,-16.716124980000004,55.687461258139535
User_89,BMW i3,85.0,Station_1,Los Angeles,2024-01-04 16:00:00,2024-01-04 17:56:00,33.07294951,30.34474845,15.55083823,Evening,100.0,83.02347312,164.6828924,-6.514431827,1.0,Level 2,Long-Distance Traveler,116.0,-16.976526879999994,17.106698022413795
User_90,Chevy Bolt,75.0,Station_61,San Francisco,2024-01-04 17:00:00,2024-01-04 18:53:00,27.84315247,17.00464385,12.27833192,Night,47.99218335,85.86518689,79.35497904,7.516861653,7.0,Level 2,Casual Driver,113.0,37.873003540000006,14.783974762831859
User_91,Chevy Bolt,50.0,Station_270,San Francisco,2024-01-04 18:00:00,2024-01-04 21:41:00,28.44077392,42.42512683,13.77980418,Night,13.6672408,96.34603462,398.3647747,27.81313555,0.0,Level 2,Long-Distance Traveler,221.0,82.67879382,7.721477082352942
User_92,Tesla Model 3,62.0,Station_180,New York,2024-01-04 19:00:00,2024-01-04 22:52:00,68.57302471,5.454692702,15.88941448,Evening,50.31669101,93.89345035,191.4559945,37.89979105,4.0,Level 1,Commuter,232.0,43.576759339999995,17.734402942241378
User_93,Chevy Bolt,85.0,Station_224,Houston,2024-01-04 20:00:00,2024-01-04 23:34:00,65.43101691,20.27269894,10.39565797,Night,76.46681164,75.84995703,71.43600424,30.19970956,6.0,DC Fast Charger,Long-Distance Traveler,214.0,-0.6168546100000043,18.34514492803738
User_94,Chevy Bolt,75.0,Station_6,Los Angeles,2024-01-04 21:00:00,2024-01-04 23:30:00,71.61568949,31.27184453,21.26356051,Morning,51.79450504,64.55436325,16.68144582,-1.719850009,3.0,Level 2,Casual Driver,150.0,12.759858209999997,28.646275795999998
User_95,Tesla Model 3,85.0,Station_103,San Francisco,2024-01-04 22:00:00,2024-01-05 01:51:00,7.93090145,44.12212999,33.81843011,Evening,42.73907176,72.9660231,55.67750505,16.80835827,7.0,DC Fast Charger,Casual Driver,231.0,30.22695134,2.0599744025974025
User_96,Chevy Bolt,24.59992215,Station_10,Chicago,2024-01-04 23:00:00,2024-01-05 00:43:00,41.08911136,32.43654898,38.05802232,Night,48.32735368,85.06742212,156.48543,23.39846836,5.0,Level 1,Casual Driver,103.0,36.74006844,23.935404675728154
User_97,Hyundai Kona,75.0,Station_71,San Francisco,2024-01-05 00:00:00,2024-01-05 02:16:00,55.72920335,21.72306732,38.09371751,Morning,63.40496814,68.34785564,74.05219273,34.66345577,0.0,Level 2,Casual Driver,136.0,4.942887500000005,24.58641324264706
User_98,Nissan Leaf,85.0,Station_90,Los Angeles,2024-01-05 01:00:00,2024-01-05 03:33:00,31.04657496,28.00485915,6.254545331,Night,47.15786096,66.1934884,140.2019568,15.62739592,7.0,DC Fast Charger,Casual Driver,153.0,19.035627440000006,12.175127435294119
User_99,Nissan Leaf,62.0,Station_226,San Francisco,2024-01-05 02:00:00,2024-01-05 05:47:00,15.91756324,17.55162621,9.531208381,Evening,80.19872331,73.21652207,117.79184,15.43580703,0.925276661,DC Fast Charger,Casual Driver,227.0,-6.982201240000009,4.207285437885463
